home_team,away_team,outcome,pts_for,pts_against
toledo,norfolk-state,W,49,10
toledo,colorado-state,L,22,6
toledo,northern-illinois,L,20,22
central-michigan,toledo,W,26,23
toledo,western-michigan,W,34,15
toledo,eastern-michigan,L,49,52
toledo,middle-tennessee-state,L,24,31
western-michigan,illinois-state,W,28,0
western-michigan,san-jose-state,W,3,23
western-michigan,central-michigan,L,30,42
eastern-michigan,western-michigan,W,22,21
northern-illinois,western-michigan,L,21,42
western-michigan,nevada,W,52,24
missouri,central-michigan,W,34,24
central-michigan,robert-morris,W,45,0
lsu,central-michigan,W,49,21
central-michigan,northern-illinois,L,38,39
central-michigan,eastern-michigan,W,31,10
central-michigan,washington-state,W,24,21
eastern-michigan,st.-francis-(pa),W,35,15
eastern-michigan,texas-state,W,59,21
northern-illinois,eastern-michigan,W,27,20
eastern-michigan,liberty,L,20,56
northern-illinois,wyoming,L,43,50
northern-illinois,maine,W,41,14
northern-illinois,kent-state,W,41,23
northern-illinois,coastal-carolina,L,41,47
utah-state,boise-state,L,27,3
boise-state,nevada,L,31,41
boise-state,air-force,L,17,24
colorado-state,boise-state,L,19,28
fresno-state,boise-state,L,14,40
boise-state,wyoming,W,23,13
boise-state,new-mexico,W,37,0
san-diego-state,boise-state,W,27,16
air-force,lafayette,W,35,14
air-force,utah-state,L,45,49
new-mexico,air-force,L,10,38
air-force,wyoming,W,24,14
air-force,san-diego-state,L,14,20
air-force,army,L,14,21
colorado-state,air-force,L,21,35
nevada,air-force,L,39,41
air-force,nevada-las-vegas,W,48,14
air-force,louisville,W,31,28
wyoming,montana-state,W,19,16
wyoming,fresno-state,L,0,17
wyoming,new-mexico,L,14,3
san-jose-state,wyoming,W,27,21
wyoming,colorado-state,W,31,17
utah-state,wyoming,L,17,44
wyoming,hawaii,L,14,38
wyoming,kent-state,W,52,38
new-mexico,houston-baptist,W,27,17
texas-a&m,new-mexico,W,34,0
san-diego-state,new-mexico,W,7,31
new-mexico,colorado-state,L,36,7
new-mexico,nevada-las-vegas,L,17,31
fresno-state,new-mexico,W,7,34
new-mexico,utah-state,L,10,35
colorado-state,south-dakota-state,L,23,42
colorado-state,vanderbilt,L,21,24
colorado-state,san-jose-state,W,32,14
utah-state,colorado-state,W,26,24
hawaii,colorado-state,W,50,45
colorado-state,nevada,L,10,52
washington-state,utah-state,L,23,26
utah-state,north-dakota,W,48,24
nevada-las-vegas,utah-state,L,24,28
utah-state,hawaii,W,51,31
san-jose-state,utah-state,L,17,48
san-diego-state,utah-state,L,13,46
utah-state,oregon-state,W,24,13
san-jose-state,southern-utah,W,45,14
usc,san-jose-state,W,7,30
hawaii,san-jose-state,L,13,17
san-jose-state,san-diego-state,L,13,19
nevada-las-vegas,san-jose-state,L,20,27
nevada,san-jose-state,W,27,24
san-jose-state,fresno-state,L,40,9
california,nevada,L,17,22
nevada,idaho-state,W,49,10
nevada,hawaii,W,34,17
fresno-state,nevada,W,34,32
nevada,nevada-las-vegas,W,51,20
